Lecture 24,Lecture 25,Lecture 26,Lecture 27,Lecture 28,Activity Week 6,Activity Week 13,Student,Lecture 1,Lecture 2,Lecture 3,Lecture 4,Lecture 5,Lecture 6,Lecture 7,Lecture 8,Lecture 9,Lecture 10,Lecture 11,Lecture 12,Lecture 13,Lecture 14,Lecture 15,Lecture 16,Lecture 17,Lecture 18,Lecture 19,Lecture 20,Lecture 21,Lecture 22,Lecture 23,Activity Week 1,Activity Week 2,Activity Week 3,Activity Week 4,Activity Week 5,Activity Week 7,Activity Week 8,Activity Week 9,Activity Week 10,Activity Week 11,Activity Week 12,Activity Week 15,Activity Week 16
0,2,2,6,0,2,2,F23.12,3,3,0,2,3,3,1,2,2,0,3,3,3,2,4,2,3,2,3,2,3,4,0,2,0,2,2,2,2,2,1.5,0,0,2,2,2
0,0,0,0,0,2,2,F23.13,3,3,2,2,1,3,1,2,2,1,3,2,3,2,0,2,3,2,3,2,2,4,2,2,2,2,2,0,2,2,2,2,2,0,0,0
4,3,3,6,11,2,2,F23.14,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,3,6,11,2,2,F23.15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.16,3,3,3,2,3,3,2,2,2,2,2,3,3,2,3,0,3,2,3,2,2,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2
2,3,1,1,0,2,2,F23.17,3,3,3,0,3,3,0,2,2,2,0,3,3,2,4,2,2,2,0,2,3,5,2,0,2,0,2,2,0,2,0,2,2,0,2,0
4,3,3,6,0,2,2,F23.18,3,3,3,0,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,2,2,0,2,2,2,2,2,2,0,2,2,0
4,3,3,6,8,2,2,F23.19,3,3,0,0,3,3,2,2,2,2,3,3,3,0,3,2,3,1,3,2,3,4,2,2,2,0,2,2,2,0,2,2,2,2,2,2
0,0,0,6,11,2,2,F23.20,3,3,3,0,3,0,0,0,2,0,3,0,3,2,4,0,0,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
4,0,1,0,0,2,2,F23.21,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,0,2,2,2,2,2,0,0
3,0,3,0,0,2,0,F23.22,3,3,2,1,3,2,1,2,1,2,3,1,3,1,4,2,0,0,0,1,0,3,0,2,2,2,2,2,0,2,2,2,2,0,0,0
4,3,3,6,11,2,2,F23.23,3,3,3,2,3,3,2,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.24,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.25,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,0,4,10,2,2,F23.26,EX,0,3,2,3,3,1,2,2,2,3,3,3,2,4,2,3,2,2,0,3,5,0,2,2,2,2,2,2,2,2,2,0,2,2,2
3,3,3,5,9,2,2,F23.27,3,3,3,2,3,3,2,2,2,2,3,3,2,2,4,0,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,0,2,2,2
2,0,0,0,0,2,0,F23.28,3,3,3,2,3,0,1,2,2,2,3,3,3,2,4,0,2,2,0,0,2,4,1,2,2,2,2,2,2,2,2,2,0,0,0,0
4,3,3,5,11,2,2,F23.29,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,1,3,2,3,0,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,0,0,0,2,2,F23.30,3,3,2,1,3,1,2,2,1,2,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,2,2,2,2,0,0,2,2,2,0,0
4,3,3,6,11,2,2,F23.31,3,3,3,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.32,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,0,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
2,3,3,6,10,2,2,F23.33,3,3,3,2,2,2,1,2,2,2,3,3,3,1,4,0,3,2,3,1,2,5,2,2,2,0,2,2,2,2,1.5,2,2,2,2,2
0,0,0,0,0,0,0,F23.34,0,0,3,2,3,2,0,0,0,2,0,3,2,2,4,2,0,2,0,2,0,0,0,2,0,2,2,0,2,0,1,0,0,0,0,0
4,3,3,6,11,2,2,F23.35,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,0,2,2,2,2,2,2,2,2,2,2
4,3,3,6,10,2,2,F23.36,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,1,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
1,3,3,6,11,2,2,F23.37,3,3,2,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,4,1,2,2,2,2,2,2,0,2,0,2,0,0,0
0,0,3,0,0,2,2,F23.38,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,2,2,0,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,0,2
0,3,3,0,11,2,2,F23.39,3,3,3,2,3,3,0,2,0,2,3,0,3,2,3,2,3,2,3,2,2,5,0,2,0,2,2,2,2,2,2,2,2,2,2,2
3,3,3,6,0,2,2,F23.40,3,3,3,1,0,2,2,2,0,2,3,1,1,2,2,2,2,2,3,0,0,2,2,2,2,2,2,2,0,2,2,0,2,0,2,2
3,3,3,6,11,2,2,F23.41,3,3,2,2,3,3,1,2,1,1,3,2,3,2,2,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,0,2
4,3,3,4,11,2,2,F23.42,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,0,2
3,3,3,6,11,2,2,F23.43,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,2,1,6,0,2,2,F23.44,3,3,2,2,2,3,2,2,1,2,3,3,3,1,3,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,0,1
4,3,3,6,0,2,2,F23.45,3,3,3,2,3,3,2,2,2,2,3,3,3,2,0,2,3,2,3,2,3,5,2,2,2,2,2,2,0,2,2,2,0,2,2,0
4,3,3,6,11,2,2,F23.46,3,2,2,2,3,3,2,1,2,2,2,3,3,2,4,2,3,2,3,2,3,5,2,2,0,2,2,2,2,2,2,2,0,2,2,2
0,3,2,1,0,2,2,F23.47,3,0,3,0,3,0,0,2,0,2,0,0,2,2,0,0,2,2,3,2,3,2,0,2,0,2,0,2,2,0,2,2,2,2,0,0
0,0,0,5,10,2,2,F23.48,3,3,0,2,0,0,1,0,1,2,0,2,2,2,4,2,0,0,0,2,0,0,0,0,2,0,0,1,0,2,2,2,0,0,1.5,2
0,0,0,0,0,2,0,F23.49,3,3,3,2,3,2,1,0,0,0,3,3,2,1,4,2,3,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,0,0,0,0
0,0,2,0,0,2,2,F23.50,3,3,0,0,1,2,2,2,2,0,3,1,0,2,3,0,0,2,2,1,2,0,2,2,0,0,2,2,2,2,2,0,2,2,2,2
0,3,3,6,11,2,0,F23.51,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,0,0,2,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,2
4,3,3,6,11,2,2,F23.52,3,3,3,2,3,3,2,2,1,2,3,3,3,2,2,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.53,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,1,3,5,9,2,2,F23.54,EX,EX,2,2,3,2,1,0,1,0,0,1,0,0,4,1,3,2,3,2,0,1,1,,2,2,2,0,2,2,2,2,0,2,1,0
4,2,3,6,11,2,2,F23.55,3,3,3,2,2,3,2,2,1,2,3,3,3,1,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,0,2,1.8,0,2
0,0,0,0,11,2,2,F23.56,3,3,3,2,3,3,2,2,2,0,3,3,0,0,0,0,3,2,,,3,0,0,2,2,2,2,2,2,2,0,2,,2,2,2
0,0,0,0,0,2,2,F23.57,3,3,3,0,3,3,2,2,2,2,3,0,3,2,3,2,3,2,0,2,2,5,2,2,2,2,2,0,0,0,0,0,0,0,0,0
4,3,3,6,11,2,2,F23.58,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,3,6,11,2,2,F23.59,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,3,0,11,2,2,F23.60,3,3,3,2,3,3,2,2,2,0,3,3,3,2,4,2,3,0,2,0,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.61,3,3,3,0,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,0,2,2,2,0,2,2,2,2,2,2,2,2,2,2
0,3,3,6,10,2,2,F23.62,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,1,2,2,2,2,0,2,2,0
4,3,3,5,11,2,2,F23.63,3,3,3,2,3,3,2,0,2,2,3,3,3,2,4,0,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0
4,3,3,6,11,2,2,F23.64,3,3,3,2,3,3,2,0,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0.6,2,2
4,3,3,5,11,2,2,F23.65,3,3,0,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
4,2,3,6,11,2,2,F23.66,3,3,3,2,3,3,2,1,1,2,3,3,3,1,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0
4,3,3,6,0,2,2,F23.67,3,3,3,2,3,3,1,2,2,2,3,3,3,2,3,2,3,2,3,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,2,3,6,11,2,2,F23.68,3,3,3,2,3,3,2,0,1,2,3,3,3,2,3,2,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,2,0,2,2
0,3,2,6,8,2,2,F23.69,0,2,3,2,3,2,2,2,2,0,2,0,0,1,3,2,2,0,2,2,3,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,0,2,2,F23.70,3,3,3,2,3,3,1,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
4,3,3,6,11,2,2,F23.71,3,3,3,2,3,3,2,2,0,0,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,3,6,11,2,2,F23.72,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.73,3,3,3,2,3,1,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,0,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.74,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
0,0,2,0,0,2,2,F23.75,3,3,2,2,2,3,1,1,1,2,0,3,0,1,4,2,0,0,3,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,2
4,3,3,6,11,2,2,F23.76,3,3,3,2,3,3,2,2,1,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,0,0,11,2,2,F23.77,EX,EX,0,2,3,3,1,2,2,2,3,3,3,0,4,2,3,2,3,2,3,0,0,,2,2,2,2,2,2,2,2,0,2,2,0
0,2,3,0,11,2,2,F23.78,3,3,3,2,3,2,1,2,2,2,3,3,3,0,3,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,2
4,2,0,4,8,2,2,F23.79,3,3,3,0,3,3,1,1,1,0,3,3,3,2,4,0,0,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
4,3,3,6,9,2,2,F23.80,EX,EX,2,2,3,3,1,2,1,2,3,2,2,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,0,0
0,3,3,6,0,2,2,F23.81,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,4,2,2,2,2,2,2,2,2,0,2,2,2,2,2
4,3,3,6,0,2,2,F23.82,3,3,3,2,3,3,2,2,2,2,3,2,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0
4,3,2,5,11,2,2,F23.83,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
4,3,3,6,11,2,2,F23.84,3,3,0,1,3,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,0,5,2,2,2,2,2,2,2,0,2,0,2,0,0,2
4,3,3,6,0,2,2,F23.85,3,3,3,2,3,3,2,0,1,2,3,3,3,2,4,0,3,2,3,2,3,5,2,2,2,2,2,2,0,2,2,2,2,2,0,2
0,0,3,6,0,2,0,F23.86,3,3,3,2,3,3,2,2,0,0,0,0,0,1,3,2,0,0,0,0,3,0,0,2,2,0,2,0,0,2,0,2,0,2,0,0
4,3,2,6,11,2,2,F23.87,EX,EX,2,2,2,2,1,2,2,2,3,3,3,2,4,2,3,2,3,1,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3,0,0,0,0,2,2,F23.88,0,3,2,1,3,2,0,2,2,1,3,3,0,0,3,2,2,1,2,1,3,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.89,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,2,3,6,11,2,2,F23.90,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,1,2,2,3,5,2,2,2,2,2,2,2,2,2,2,2,0,2,2
4,3,0,6,11,2,2,F23.91,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,2,2
4,3,3,6,11,2,2,F23.92,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,3,0,0,2,2,F23.93,3,2,3,2,2,2,1,2,1,0,2,2,0,2,0,2,2,0,3,0,0,4,1,2,2,2,2,2,0,2,2,0,2,2,2,0
4,3,3,5,11,2,2,F23.94,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,0,0,0,0,2,2,F23.95,3,3,3,2,3,3,2,2,2,2,3,3,3,1,4,2,3,2,3,2,3,5,2,0,2,2,2,2,2,2,2,2,2,2,0,0
4,3,1,6,10,2,2,F23.96,EX,EX,0,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,0,2,2,2,0,2
0,0,0,0,0,2,0,F23.97,EX,EX,2,2,3,3,2,2,2,1,3,0,3,0,3,0,3,2,3,0,2,0,0,,0,2,2,2,0,0,0,2,0,0,0,0
4,3,3,4,11,2,2,F23.98,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,4,11,2,2,F23.99,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,6,11,2,2,F23.100,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,0,2,2,2
4,3,3,6,11,2,2,F23.101,3,3,3,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,1,6,7,2,2,F23.102,3,3,3,2,3,3,1,2,2,2,3,3,2,2,3,2,2,2,3,2,3,4,2,2,2,2,2,2,2,2,2,0,2,0,0,2
4,3,3,6,11,2,2,F23.103,3,3,3,2,3,3,2,2,0,0,3,3,3,1,4,2,3,2,3,2,3,3,2,2,2,2,2,2,2,0,0,2,2,0,2,2
3,3,3,5,10,2,2,F23.104,3,3,3,2,3,0,2,2,2,2,3,3,3,2,3,0,2,2,3,0,3,5,0,2,0,2,2,2,2,0,2,0,2,2,0,2
4,3,3,6,11,2,2,F23.105,EX,EX,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1,3,3,4,8,2,2,F23.106,3,3,3,2,3,3,2,2,2,1,3,2,3,2,2,2,2,2,3,1,3,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2
4,3,3,6,11,2,2,F23.107,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,3,3,5,10,2,2,F23.108,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,0,2,2,2,2
0,0,0,0,0,2,0,F23.109,0,0,2,2,3,3,2,2,0,1,3,3,3,0,4,2,3,2,3,2,3,0,1,2,2,0,2,2,2,2,2,2,0,2,0,0
4,3,3,6,11,2,2,F23.110,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,3,6,11,2,2,F23.111,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
3,,0,0,0,2,2,F23.112,3,3,0,2,3,2,2,2,1,1,3,3,3,2,4,2,3,1,3,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,,
0,3,3,5,0,2,0,F23.113,3,0,3,2,3,0,2,2,2,0,0,3,3,2,4,0,3,2,0,2,0,5,0,2,2,2,0,2,0,2,2,2,2,0,2,0
0,0,0,3,0,2,2,F23.114,0,3,2,2,2,3,1,2,1,2,3,3,0,1,2,1,2,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2
4,3,3,6,11,2,2,F23.115,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,0,2,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
