Student,Midterm 1 (percent),Midterm 2 (percent),Final Exam (percent),Maintenance Midterm 1 (percent),Maintenance Midterm 2 (percent),Midterm 1 - extra 2 points (Fall 24),Midterm 2 - extra 5 points (Fall 24)
S23.01,0.904,0.872,0.835,1,1,,
S23.02,1.008,0.976,0.89,1,1,,
S23.03,0.984,1,0.835,1,1,,
S23.04,1.016,0.976,0.945,1,1,,
S23.05,0.984,0.984,0.86,1,1,,
S23.06,0.84,0.888,0.555,1,1,,
S23.07,0.76,0.72,0.52,1,1,,
S23.08,0.912,0.68,0.75,1,1,,
S23.09,0.624,0.56,0.58,1,1,,
S23.10,0.344,0.544,0.385,1,1,,
S23.11,0.976,0.936,0.485,1,1,,
S23.12,0.896,0.776,0.56,1,1,,
S23.13,0.944,0.904,0.64,1,1,,
S23.14,0.6,0.712,0.55,1,1,,
S23.15,0.976,0.864,0.785,1,1,,
S23.16,0.904,0.696,0.595,1,0,,
S23.17,0.624,0.568,0.5,0,1,,
S23.18,0.88,0.912,0.73,1,1,,
S23.19,0.688,0.88,0.69,1,1,,
S23.20,1.024,1,0.895,1,1,,
S23.21,0.896,0.904,0.685,1,1,,
S23.22,0.976,0.96,0.975,1,1,,
S23.23,0.816,0.776,0.65,1,1,,
S23.24,0.792,0.824,0.8,1,1,,
S23.25,0.704,0.712,0.425,1,1,,
S23.26,0.992,0.88,0.695,1,1,,
S23.27,0.968,0.968,0.765,1,1,,
S23.28,0.784,0.88,0.6975,1,1,,
S23.29,0.816,0.96,0.55,1,1,,
S23.30,0.96,0.88,0.81,1,1,,
S23.31,0.824,0.728,0.6,1,1,,
S23.32,0,0,0,0,0,,
S23.33,1.008,0.848,0.645,1,1,,
S23.34,0.984,0.856,0.71,1,1,,
S23.35,0.776,0.552,0.355,1,1,,
S23.36,0.944,0.896,1,1,1,,
S23.37,0.672,0.744,0.54,1,1,,
S23.38,0.936,0.768,0.885,1,1,,
S23.39,1.008,1,0.815,1,1,,
S23.40,0.904,0.904,0.565,1,1,,
S23.41,0.616,0.576,0.475,1,1,,
S23.42,0.952,0.912,0.72,1,1,,
S23.43,0.832,0.928,0.81,1,1,,
S23.44,1,0.736,0.47,1,1,,
S23.45,0.48,0.496,0.365,1,1,,
S23.46,0.944,0.832,0.79,1,1,,
S23.47,0.648,0.704,0.26,1,1,,
S23.48,0.864,0.92,0.6225,1,1,,
S23.49,0.8,0.936,0.83,1,1,,
S23.50,0.672,0.656,0.375,1,1,,
S23.51,0.96,0.96,0.915,1,1,,
S23.52,0.88,0.88,0.47,1,1,,
S23.53,0.8,0.992,0.625,1,1,,
S23.54,0,0,0,0,0,,
S23.55,0.976,0.968,0.905,1,1,,
S23.56,1.024,0.968,0.87,1,1,,
S23.57,0.952,0.856,0.695,1,1,,
S23.58,0,0.504,0,1,0,,
S23.59,0.84,0.48,0.31,1,1,,
S23.60,0.84,0.816,0.51,1,1,,
S23.61,0.92,0.736,0.385,1,1,,
S23.62,0.952,0.888,0.875,1,1,,
S23.63,0.968,0.928,0.745,1,1,,
S23.64,0.672,0.736,0.435,1,1,,
S23.65,0.944,0.944,0.815,1,1,,
S23.66,0.144,0,0,0,0,,
S23.67,0.864,0.816,0.45,1,1,,
S23.68,0.856,0.824,0.435,1,1,,
S23.69,0.952,0.952,0.715,1,1,,
S23.70,0.592,0.824,0.41,1,1,,
S23.71,0.88,0.92,0.84,1,1,,
S23.72,0.912,0.584,0.46,1,0,,
S23.73,0.992,0.848,0.845,1,1,,
S23.74,0.768,0.896,0.745,1,1,,
S23.75,0.272,0,0,0,0,,
S23.76,0.648,0.336,0,1,0,,
S23.77,0.992,0.848,0.81,1,1,,
S23.78,0.608,0,0,0,0,,
S23.79,0.72,0.592,0.585,1,1,,
S23.80,0.728,0.808,0,1,1,,
S23.81,0.984,0.944,0.69,1,1,,
S23.82,0.944,0.888,0.82,1,1,,
S23.83,0.776,0.84,0.715,1,1,,
S23.84,1.024,0.952,0.92,1,1,,
S23.85,0.904,0.968,0.66,1,1,,
S23.86,0.848,0.496,0.745,1,1,,
S23.87,0.848,0.84,0.53,1,1,,
S23.88,1.024,0.952,0.89,1,1,,
S23.89,0.976,0.76,0.475,1,1,,
S23.90,0.88,0.92,0.82,1,1,,
S23.91,0.672,0.592,0.655,1,0,,
S23.92,0.52,0.312,0,1,0,,
S23.93,0.84,0.976,0.5275,1,1,,
S23.94,0.92,0.752,0.615,1,1,,
S23.95,0.952,0.888,0.76,1,1,,
S23.96,0.632,0.56,0.57,1,1,,
S23.97,0.976,0.848,0.66,1,1,,
S23.98,0.96,0.936,0.8,1,1,,
S23.99,0.632,0,0.31,1,0,,
S23.100,0.968,0.984,0.845,1,1,,
S23.101,0.904,0.864,0.815,1,1,,
S23.102,0.848,0.896,0.745,1,1,,
S23.103,0.968,0.968,0.825,1,1,,
S23.104,0.648,0.48,0.375,1,1,,
S23.105,0.936,0.976,0.9,1,1,,
S23.106,0.928,0.632,0.585,1,1,,
S23.107,0.928,0.936,0.7445,1,1,,
S23.108,0.96,0.656,0.59,1,0,,
S23.109,0.96,0.968,0.77,1,1,,
S23.110,0.488,0.632,0.505,1,0.5,,
S23.111,0.856,0.512,0.325,1,1,,
S23.112,0.992,0.944,0.945,1,1,,
S23.113,1,1,0.93,1,1,,
S23.114,0.904,0.824,0.75,1,1,,
S23.115,0.784,0.752,0.465,1,1,,
S23.116,0.632,0.568,0.33,1,1,,
S23.117,0.96,0.872,0.745,1,1,,
S23.118,0.912,0.872,0.55,1,1,,
S23.119,0.944,0.96,0.765,1,1,,
S23.120,0.984,0.936,0.735,1,1,,
S23.121,0.904,0.784,0.705,1,1,,
S23.122,1.016,1,0.935,1,1,,
S23.123,0.944,0.936,0.81,1,1,,
S23.124,0.944,0.96,0.71,1,1,,
S23.125,0.728,0.712,0.57,1,1,,
S23.126,1,0.976,0.93,1,1,,
S23.127,0.936,0.872,0.85,1,1,,
S23.128,1,1,0.825,1,1,,
S23.129,0.992,0.944,0.827,1,1,,
S23.130,0.968,0.96,0.88,1,1,,
S23.131,0.888,0.936,0.6,1,1,,
S23.132,0.992,0.984,0.59,1,1,,
S23.133,0.928,0.992,0.95,1,1,,
S23.134,0.664,0.632,0.325,1,0.5,,
S23.135,1.016,0.928,0.7,1,1,,
S23.136,0.912,0.832,0.695,1,1,,
S23.137,0.816,0.76,0.51,1,1,,
S23.138,0.968,0.808,0.88,1,1,,
S23.139,0.936,0.936,0.835,1,1,,
S23.140,1.024,0.96,0.97,1,1,,
S23.141,0.912,0.912,0.775,1,1,,
S23.142,0.936,0.896,0.525,1,1,,
S23.143,1.024,1,0.94,1,1,,
S23.144,0.896,0.952,0.69,1,1,,
S23.145,0.704,0.6,0.49,1,0,,
S23.146,0.936,0.584,0.455,1,1,,
S23.147,0.936,0.864,0.485,1,1,,
S23.148,0.4,0.184,0.285,0,0,,
S23.149,0.68,0.624,0.51,1,0.5,,
S23.150,0.896,0.776,0.435,1,1,,
S23.151,0.928,0.952,0.87,1,1,,
1,94.5,0.98,0.855,1,25,2,5
2,97,0.84,0.82,1,25,2,0
3,66,0.61,0.685,1,25,2,5
4,92,0.96,0.9,1,25,2,5
5,80,0,0,1,0,2,0
6,83,0.83,0.7625,1,25,2,5
7,89.5,0.94,0.795,1,25,2,5
8,78,0.92,0.805,1,25,2,0
9,97,0.94,0.855,1,25,2,5
10,91,0.99,0.855,1,25,2,5
11,92,0.95,0.87,1,25,2,0
12,87.5,0.99,0.895,1,25,2,5
13,86,0.75,0.8575,1,25,2,5
14,91.75,0.86,0.825,1,25,2,5
15,58.5,0.37,0,0,0,2,0
16,0,0,0,0,0,2,0
17,59.25,0.22,0.3475,1,25,2,0
18,90.5,0.81,0.67,1,25,2,0
19,79.5,0.85,0.8375,1,25,2,5
20,58,0.56,0.6175,1,25,2,5
21,97,0.94,0.8725,1,25,2,0
22,79.5,0.85,0.605,1,25,2,0
23,87,0.94,0.89,1,25,2,0
24,60,0,0,0,0,2,0
25,98,0.87,0.9,1,25,2,5
26,97,0.92,0.76,1,25,2,5
27,59.5,0,0,0,0,2,0
28,79,0.61,0.595,1,25,2,5
29,80.5,0,0,1,0,2,0
30,89,0.91,0.7975,1,25,2,5
31,83,0.72,0.705,1,25,2,0
32,84,0.95,0.855,1,25,2,5
33,91,0.86,0.6325,1,25,2,0
34,99,0.92,0.82,1,25,2,5
35,71,0.96,0.775,1,25,2,0
36,81,0.92,0.7575,1,25,2,5
37,68,0.63,0.395,1,25,2,5
38,81,0.5,0.53,1,25,2,5
39,81,0.87,0.8025,1,25,2,5
40,60,0.87,0.825,1,25,2,5
41,81,0.85,0.825,1,25,2,5
42,81,0.95,0.7825,1,25,2,5
43,83,0.81,0.7675,1,25,2,5
44,91,0.78,0.76,1,25,2,0
45,91,0.88,0.855,1,25,2,0
46,43.5,0,0,0,0,2,0
47,84,0.61,0.7125,1,25,2,5
48,82,0.88,0.845,1,25,2,5
49,84,0.77,0.775,1,25,2,5
50,82,0.8,0.725,1,25,2,0
51,93,0.93,0.8875,1,25,2,5
52,90,0.9,0.735,1,25,2,0
53,76,0.48,0.5775,1,25,2,5
54,95,1,0.845,1,25,2,5
55,87,0.85,0.87,1,25,2,5
56,78,0.66,0.815,1,25,2,5
57,87,0.99,0.885,1,25,2,0
58,57,0.44,0.6525,1,25,2,5
59,83.75,0.82,0.7675,1,25,2,5
60,69.25,0.69,0.565,0,0,2,0
61,93,0.94,0.88,1,25,2,0
62,84.75,0.91,0.7775,1,25,2,5
63,83,0.97,0.795,1,25,2,5
64,81,0.97,0.865,1,25,2,0
65,92,0.97,0.88,1,25,2,5
66,95,0.95,0.9,1,25,2,5
67,84,0.4,0.78,1,25,2,5
68,85,0.91,0.87,1,25,2,5
69,89,0.96,0.9,1,25,2,0
70,100,0.95,0.89,1,25,2,0
71,0,0,0,0,0,2,0
72,47,0.29,0,1,25,2,0
73,71.25,0.81,0.825,1,25,2,5
74,51,0.57,0.59,1,25,2,5
75,49,0,0,0,0,2,0
76,99,0.93,0.895,1,25,2,5
77,73,0.69,0.6,1,25,2,5
78,36,0.26,0.305,1,25,2,5
79,78.5,0.87,0.8375,1,25,2,0
80,83.5,0.72,0.7025,1,25,2,5
81,72,0.93,0.78,1,25,2,5
82,94,0.64,0.6475,1,25,2,5
83,93,0.87,0.8475,1,25,2,5
84,100,0.98,0.8975,1,25,2,0
85,65.25,0.57,0.6325,1,25,2,5
86,97,0.82,0.835,1,25,2,5
87,86,0.98,0.8125,1,25,2,5
88,89,0.91,0.845,1,25,2,0
89,59,0.37,0.435,0,25,2,0
90,91,0.96,0.8075,1,25,2,5
91,87,0.92,0.795,1,25,2,5
92,89,0.75,0.565,1,25,2,0
93,76,0.71,0.675,1,25,2,5
94,90,0.93,0.83,1,25,2,0
95,0,0,0,0,0,2,0
96,66.5,0.9,0.62,0,25,2,5
97,30.5,0.52,0.4175,1,25,2,5
98,86,0.9,0.78,1,25,2,0
F23.01,83,0.89,0.76,1,20,,
F23.02,82,0.89,0.915,1,20,,
F23.03,91.5,0.81,0.91,1,20,,
F23.04,75,0.22,0.375,1,20,,
F23.05,75,0.7,0.5895,1,20,,
F23.06,52,0.63,0.65,1,20,,
F23.07,95.5,0.83,0.92,1,20,,
F23.08,93,0.91,0.905,1,20,,
F23.09,66,0.75,0.71,1,20,,
F23.10,64,0.64,0.575,1,20,,
F23.11,88,0.78,0.775,1,20,,
F23.12,98,0.97,0.935,1,20,,
F23.13,49,0.1,0,1,0,,
F23.14,80,0.92,0.815,1,20,,
F23.15,97,0.9,0.865,1,20,,
F23.16,39.5,0.54,0.515,1,20,,
F23.17,94,0.75,0.62,1,20,,
F23.18,94.5,0.91,0.79,1,20,,
F23.19,90,0.73,0.455,1,20,,
F23.20,97,0.92,0.83,1,20,,
F23.21,40.5,0.12,0,0,0,,
F23.22,49,0,0,0,0,,
F23.23,85,0.68,0.61,1,20,,
F23.24,76,0.76,0.635,1,20,,
F23.25,93,0.95,0.795,1,20,,
F23.26,56.5,0.81,0.505,0,20,,
F23.27,67,0.32,0.3285,1,20,,
F23.28,58,0,0,0,0,,
F23.29,98,0.93,0.875,1,20,,
F23.30,82,0.55,0.38,1,0,,
F23.31,89,0.94,0.93,1,20,,
F23.32,61,0.57,0.47,1,20,,
F23.33,99,0.95,0.97,1,20,,
F23.34,56,0,0,0.5,0,,
F23.35,100,0.98,0.95,1,20,,
F23.36,74,0.59,0.64,1,20,,
F23.37,86,0.72,0.77,1,20,,
F23.38,92,0.69,0.59,1,0,,
F23.39,67.5,0.42,0.375,1,20,,
F23.40,81.5,0.75,0.52,1,20,,
F23.41,59,0.53,0.625,1,20,,
F23.42,77,0.9,0.9,1,20,,
F23.43,92.5,0.98,0.94,1,20,,
F23.44,91.5,0.62,0.625,1,20,,
F23.45,95.5,0.97,0.97,1,20,,
F23.46,91,0.92,0.895,1,20,,
F23.47,72,0.7,0.5735,1,20,,
F23.48,74,0.83,0.785,1,20,,
F23.49,84,0,0,1,0,,
F23.50,42,0.23,0.36,0,20,,
F23.51,71.5,0,0.615,1,0,,
F23.52,92,0.81,0.885,1,20,,
F23.53,67.5,0.82,0.635,1,20,,
F23.54,70,0.71,0.745,1,20,,
F23.55,69,0.8,0.65,1,20,,
F23.56,92,0.89,0.89,1,20,,
F23.57,71,0.16,0,1,0,,
F23.58,84,0.89,0.83,1,20,,
F23.59,96,0.92,0.755,1,20,,
F23.60,68,0.43,0.46,1,20,,
F23.61,94,0.96,0.905,1,20,,
F23.62,95,0.85,0.845,1,20,,
F23.63,84,0.87,0.86,1,20,,
F23.64,80,0.83,0.86,1,20,,
F23.65,74,0.77,0.605,1,20,,
F23.66,76.5,0.8,0.52,1,20,,
F23.67,66,0.58,0.475,1,20,,
F23.68,95,0.92,0.92,1,20,,
F23.69,93,0.81,0.8,1,20,,
F23.70,95,0.99,0.86,1,20,,
F23.71,94,0.98,0.94,1,20,,
F23.72,78,0.8,0.73,1,20,,
F23.73,93.5,0.96,0.885,1,20,,
F23.74,84,0.55,0.49,1,20,,
F23.75,59,0.46,0.7,1,20,,
F23.76,79.5,0.75,0.375,1,20,,
F23.77,64,0.44,0.5495,1,20,,
F23.78,74,0.58,0.485,1,20,,
F23.79,58,0.34,0.485,1,20,,
F23.80,84.5,0.87,0.755,1,20,,
F23.81,93,0.87,0.81,1,20,,
F23.82,91,0.98,0.87,1,20,,
F23.83,86,0.75,0.895,1,20,,
F23.84,80,0.62,0.73,1,0,,
F23.85,93,0.94,0.845,1,20,,
F23.86,52,0,0.475,0,0,,
F23.87,83,0.93,0.72,1,20,,
F23.88,86.5,0.66,0.615,1,0,,
F23.89,94,0.95,0.915,1,20,,
F23.90,94,0.7,0.82,1,20,,
F23.91,96,0.93,0.955,1,20,,
F23.92,89.5,0.95,0.715,1,20,,
F23.93,72,0.47,0.545,1,20,,
F23.94,79,0.93,0.705,1,20,,
F23.95,85,0.85,0.725,1,20,,
F23.96,89,0.95,0.89,1,20,,
F23.97,39.5,0,0,0,0,,
F23.98,92,0.95,0.84,1,20,,
F23.99,89,0.95,0.97,1,20,,
F23.100,97,0.94,0.94,1,20,,
F23.101,75,0.78,0.54,1,20,,
F23.102,70.5,0.55,0.52,1,20,,
F23.103,83,0.72,0.76,1,20,,
F23.104,76,0.72,0.585,1,20,,
F23.105,87.5,0.85,0.815,1,20,,
F23.106,81,0.77,0.86,1,20,,
F23.107,91,0.89,0.915,1,20,,
F23.108,87,0.89,0.875,1,20,,
F23.109,40,0,0,0,0,,
F23.110,80,0.72,0.64,1,20,,
F23.111,91.5,0.84,0.93,1,20,,
F23.112,85,0.78,0.82,1,20,,
F23.113,87,0.75,0.68,1,20,,
F23.114,80,0.59,0.5475,1,20,,
F23.115,99,0.99,0.935,1,20,,
