Student,Total Score,Grade
1 Zhou,0.7792,C
2 Zhou,0.8242,B
3 Zhou,0.816,B
4 Zhou,0.8702,B
5 Zhou,0.6505,D
6 Zhou,0.8522,B
7 Zhou,0.8242,B
8 Zhou,0.8507,B
9 Zhou,0.7448,C
10 Zhou,0.8301,B
11 Zhou,0.8481,B
12 Zhou,0.8319,B
13 Zhou,0.5641,F
14 Zhou,0,F
15 Zhou,0.662,D
16 Zhou,0.7857,C
17 Zhou,0.7288,C
18 Zhou,0.7817,C
19 Zhou,0.8052,B
20 Zhou,0.7483,C
21 Zhou,0.7311,C
22 Zhou,0.7191,C
23 Zhou,0.4977,F
24 Zhou,0.6276,D
25 Zhou,0.8356,B
26 Zhou,0.801,B
27 Zhou,0.7238,C
28 Zhou,0.1712,F
29 Zhou,0.8265,B
30 Zhou,0.8394,B
31 Zhou,0.8152,B
33 Zhou,0.7161,C
34 Zhou,0.7825,C
35 Zhou,0.7624,C
36 Zhou,0.6326,D
37 Zhou,0.8428,B
38 Zhou,0.603,D
39 Zhou,0.619,D
40 Zhou,0.8262,B
41 Zhou,0.7755,C
42 Zhou,0.8609,B
43 Zhou,0.8451,B
44 Zhou,0.8582,B
45 Zhou,0.8209,B
46 Zhou,0.8179,B
47 Zhou,0.7996,C
48 Zhou,0.0647,F
49 Zhou,0.8546,B
50 Zhou,0.4807,F
51 Zhou,0.821,B
52 Zhou,0.4946,F
53 Zhou,0.761,C
54 Zhou,0.478,F
55 Zhou,0.8436,B
56 Zhou,0.6385,D
57 Zhou,0.8462,B
58 Zhou,0.4148,F
59 Zhou,0.81,B
60 Zhou,0.8074,B
61 Zhou,0.7589,C
62 Zhou,0.8479,B
63 Zhou,0.4535,F
64 Zhou,0.8713,B
65 Zhou,0.748,C
66 Zhou,0.725,C
67 Zhou,0.7645,C
68 Zhou,0.8514,B
69 Zhou,0.7508,C
70 Zhou,0.834,B
71 Zhou,0.7565,C
72 Zhou,0.6958,D
73 Zhou,0.7611,C
74 Zhou,0.7871,C
75 Zhou,0.843,B
76 Zhou,0.8497,B
77 Zhou,0.6003,D
78 Zhou,0.8407,B
79 Zhou,0.7049,C
80 Zhou,0.8235,B
81 Zhou,0.8252,B
82 Zhou,0.8258,B
83 Zhou,0.4827,F
84 Zhou,0.1378,F
85 Zhou,0.784,C
86 Zhou,0.8591,B
87 Zhou,0.4488,F
88 Zhou,0.7794,C
89 Zhou,0.8362,B
90 Zhou,0.7543,C
91 Zhou,0.7347,C
92 Zhou,0.6206,D
93 Zhou,0.8098,B
94 Zhou,0.5394,F
95 Zhou,0.7397,C
96 Zhou,0.7963,C
97 Zhou,0.7947,C
98 Zhou,0.6778,D
99 Zhou,0.7706,C
100 Zhou,0.8125,B
101 Zhou,0.4957,F
102 Zhou,0.8283,B
103 Zhou,0.7686,C
104 Zhou,0.8331,B
105 Zhou,0.8145,B
106 Zhou,0.8537,B
107 Zhou,0.8635,B
108 Zhou,0.6914,D
109 Zhou,0.7285,C
110 Zhou,0.8153,B
111 Zhou,0.8388,B
112 Zhou,0.8533,B
113 Zhou,0.592,F
1,0.9839,A
2,0.9455,A
3,0.8096,B
4,1.0033,A
5,0.4353,F
6,0.9333,A
7,0.9657,A
8,0.9224,A
9,0.9936,A
10,0.9922,A
11,0.9893,A
12,0.994,A
13,0.9385,A
14,0.964,A
15,0.3494,F
16,0.0109,F
17,0.6694,D
18,0.893,B
19,0.9559,A
20,0.8142,B
21,0.984,A
22,0.8615,B
23,0.9732,A
24,0.1782,F
25,0.9929,A
26,0.9393,A
27,0.3332,F
28,0.8537,B
29,0.4148,F
30,0.9742,A
31,0.887,B
32,0.9823,A
33,0.9049,A
34,0.9787,A
35,0.9206,A
36,0.931,A
37,0.8138,B
38,0.8254,B
39,0.9519,A
40,0.9283,A
41,0.9525,A
42,0.9333,A
43,0.8918,B
44,0.8467,B
45,0.9673,A
46,0.1104,F
47,0.8015,B
48,0.928,A
49,0.9371,A
50,0.8544,B
51,0.9387,A
52,0.9162,A
53,0.6875,D
54,1.0044,A
55,0.9398,A
56,0.86,B
57,0.989,A
58,0.7659,C
59,0.9033,A
60,0.7254,C
61,0.978,A
62,0.9442,A
63,0.9445,A
64,0.9393,A
65,0.9997,A
66,0.9958,A
67,0.8672,B
68,0.9448,A
69,0.9619,A
70,0.9961,A
71,0.0041,F
72,0.4899,F
73,0.9175,A
74,0.6227,D
75,0.2254,F
76,1.0069,A
77,0.8017,B
78,0.5388,F
79,0.9167,A
80,0.9139,A
81,0.9155,A
82,0.9151,A
83,0.9639,A
84,1.001,A
85,0.795,C
86,0.955,A
87,0.9419,A
88,0.9716,A
89,0.6543,D
90,0.9849,A
91,0.957,A
92,0.8355,B
93,0.866,B
94,0.9687,A
95,0.0114,F
96,0.8585,B
97,0.7491,C
98,0.9378,A
F23.01,0.9073,A
F23.02,0.777,C
F23.03,0.9086,A
F23.04,0.6731,D
F23.05,0.8,B
F23.06,0.7552,C
F23.07,0.9466,A
F23.08,0.933,A
F23.09,0.7252,C
F23.10,0.7448,C
F23.11,0.8213,B
F23.12,0.9556,A
F23.13,0.3674,F
F23.14,0.9199,A
F23.15,0.9529,A
F23.16,0.7346,C
F23.17,0.8237,B
F23.18,0.9239,A
F23.19,0.8062,B
F23.20,0.9151,A
F23.21,0.3434,F
F23.22,0.151,F
F23.23,0.8357,B
F23.24,0.8316,B
F23.25,0.9452,A
F23.26,0.6107,D
F23.27,0.7,C
F23.28,0.3564,F
F23.29,0.9651,A
F23.30,0.588,F
F23.31,0.9336,A
F23.32,0.7286,C
F23.33,0.9786,A
F23.34,0.2634,F
F23.35,0.9831,A
F23.36,0.8205,B
F23.37,0.8433,B
F23.38,0.8001,B
F23.39,0.6141,D
F23.40,0.8335,B
F23.41,0.7606,C
F23.42,0.9355,A
F23.43,0.9768,A
F23.44,0.8166,B
F23.45,0.9802,A
F23.46,0.9322,A
F23.47,0.7,C
F23.48,0.8378,B
F23.49,0.3146,F
F23.50,0.5822,F
F23.51,0.5389,F
F23.52,0.9234,A
F23.53,0.8687,B
F23.54,0.7938,C
F23.55,0.862,B
F23.56,0.922,A
F23.57,0.3792,F
F23.58,0.9251,A
F23.59,0.9383,A
F23.60,0.6722,D
F23.61,0.9494,A
F23.62,0.9123,A
F23.63,0.8545,B
F23.64,0.9133,A
F23.65,0.7642,C
F23.66,0.8058,B
F23.67,0.7528,C
F23.68,0.9558,A
F23.69,0.8546,B
F23.70,0.9533,A
F23.71,0.9531,A
F23.72,0.8825,B
F23.73,0.9426,A
F23.74,0.8002,B
F23.75,0.7484,C
F23.76,0.8143,B
F23.77,0.6,D
F23.78,0.7468,C
F23.79,0.7032,C
F23.80,0.8916,B
F23.81,0.9192,A
F23.82,0.9494,A
F23.83,0.9223,A
F23.84,0.8063,B
F23.85,0.9164,A
F23.86,0.4118,F
F23.87,0.8747,B
F23.88,0.6659,D
F23.89,0.9652,A
F23.90,0.903,A
F23.91,0.9715,A
F23.92,0.924,A
F23.93,0.5675,F
F23.94,0.863,B
F23.95,0.8522,B
F23.96,0.9047,A
F23.97,0.2665,F
F23.98,0.9415,A
F23.99,0.9514,A
F23.100,0.9642,A
F23.101,0.8465,B
F23.102,0.7684,C
F23.103,0.712,C
F23.104,0.8156,B
F23.105,0.9291,A
F23.106,0.8709,B
F23.107,0.9387,A
F23.108,0.8764,B
F23.109,0.1697,F
F23.110,0.8478,B
F23.111,0.9239,A
F23.112,0.8812,B
F23.113,0.7317,C
F23.114,0.7001,C
F23.115,0.9809,A
S23.01,95.71,A
S23.02,99.31,A
S23.03,97.63,A
S23.04,100.8,A
S23.05,95.98,A
S23.06,89.2,B
S23.07,83.94,B
S23.08,86.69,B
S23.09,73.42,C
S23.10,67.72,D
S23.11,89.16,B
S23.12,77.99,C
S23.13,78.64,C
S23.14,56.7,F
S23.15,94.62,A
S23.16,81.03,B
S23.17,73.46,C
S23.18,93.8,A
S23.19,90.13,A
S23.20,100.15,A
S23.21,91,A
S23.22,100.16,A
S23.23,88.91,B
S23.24,91.5,A
S23.25,79.15,C
S23.26,92.32,A
S23.27,96.36,A
S23.28,90,A
S23.29,89.09,B
S23.30,94.06,A
S23.31,83.19,B
S23.32,5.19,F
S23.33,91.64,A
S23.34,83.51,B
S23.35,77.35,C
S23.36,94.27,A
S23.37,77.65,C
S23.38,95.01,A
S23.39,98.36,A
S23.40,76.17,C
S23.41,75.93,C
S23.42,94.4,A
S23.43,94.06,A
S23.44,77.01,C
S23.45,74.19,C
S23.46,88.31,B
S23.47,74.61,C
S23.48,90.01,A
S23.49,94.28,A
S23.50,74.21,C
S23.51,97.76,A
S23.52,74.57,C
S23.53,91.2,A
S23.54,3.53,F
S23.55,95.75,A
S23.56,98.97,A
S23.57,93.08,A
S23.58,24.94,F
S23.59,78.16,C
S23.60,86.98,B
S23.61,70.31,C
S23.62,95.54,A
S23.63,94.29,A
S23.64,80.67,B
S23.65,90.47,A
S23.66,12.88,F
S23.67,86.53,B
S23.68,81.52,B
S23.69,76.9,C
S23.70,71.58,C
S23.71,95.07,A
S23.72,61.39,D
S23.73,96.81,A
S23.74,73.21,C
S23.75,13.06,F
S23.76,40.72,F
S23.77,88.07,B
S23.78,10.71,F
S23.79,84.07,B
S23.80,44.68,F
S23.81,94.8,A
S23.82,95.62,A
S23.83,90,A
S23.84,98.66,A
S23.85,79.4,C
S23.86,85.58,B
S23.87,80.49,B
S23.88,96.62,A
S23.89,72.49,C
S23.90,95.6,A
S23.91,74.45,C
S23.92,43.4,F
S23.93,90,A
S23.94,78.94,C
S23.95,86.04,B
S23.96,80.58,B
S23.97,92.27,A
S23.98,96.4,A
S23.99,57.1,F
S23.100,92.44,A
S23.101,89.21,B
S23.102,92.86,A
S23.103,95.1,A
S23.104,72.28,C
S23.105,97.92,A
S23.106,86.42,B
S23.107,90,A
S23.108,77.95,C
S23.109,94.4,A
S23.110,75.21,C
S23.111,78.86,C
S23.112,86.17,B
S23.113,99.59,A
S23.114,92.76,A
S23.115,80.05,B
S23.116,76.75,C
S23.117,94.1,A
S23.118,87.95,B
S23.119,93.83,A
S23.120,92.95,A
S23.121,83.92,B
S23.122,100.9,A
S23.123,95.32,A
S23.124,94.75,A
S23.125,81.45,B
S23.126,98.13,A
S23.127,88.25,B
S23.128,93.67,A
S23.129,90,A
S23.130,97.76,A
S23.131,88.52,B
S23.132,83.63,B
S23.133,99.65,A
S23.134,74.34,C
S23.135,94.55,A
S23.136,92.28,A
S23.137,66.95,D
S23.138,95.79,A
S23.139,95.63,A
S23.140,98.85,A
S23.141,93.33,A
S23.142,80.27,B
S23.143,99.22,A
S23.144,93.05,A
S23.145,74.65,C
S23.146,82.41,B
S23.147,85.68,B
S23.148,38.44,F
S23.149,73.45,C
S23.150,84.12,B
S23.151,96.01,A
