Student,HW 0: Getting Ready! (810075),HW 1: Vocab (810068),HW 2: Qualitative Data (810069),HW 3: Quantitative Displays (810070),HW 4: Quantitative Data part 1 (810071),HW 5: Quantitative Data part 2 (810074),HW 6: Relative Position (810072),HW 7R: Midterm 1 Review NO DROP (810073),HW 8: Scatterplots and correlation (817337),"HW 9: Correlation, Regression (817338)",HW 10: Probability Part 1 (817339),HW 11: Probability Part 2 (817340),HW 12: RV & Normal Dist part 1 (833866),HW 13: Normal Distribution part 2 (833867),HW 14: Sampling Distributions of p-hat (833868),HW 15: 1 sample CI for p (part 1) (833869),HW 16: 1 sample CI for p (part 2) (833871),HW 17: Intro to Hypothesis Testing (833870),HW 18R: Midterm 2 Review - NO DROP (833865),HW 19: 1 sample HT for p (851955),HW 20R: Final Exam Review 1 - NO DROP (851958),HW 21: Sampling Distribution of x-bar (851954),HW 22: 1 sample CI for mu (851956),HW 23: 1 sample HT for mu (851957),HW 24R: Final Exam Review 2 - NO DROP (851959),Project 1 - COVID Tracker (810061),Project 1 - Heart Disease (810063),Project 1 - NFL Combine (810065),Project 1 - US Health Insurance (810066),Project 1 - Homelessness (810064),Project 1 - College Majors (810062),Project 2 - COVID 19 (821369),Project 2 - Heart Disease (821370),Project 2 - NFL Combine (821372),Project 2 - US Health Insurance (821373),Project 2 - Homelessness (821371),Project 2 - College Majors (820644),Project 3 - COVID Tracker (848640),Project 3 - Heart Disease (848639),Project 3 - NFL Combine (848637),Project 3 - US Health Insurance (848636),Project 3 - Homelessness (848638),Project 3 - College Majors (848635),Lecture 08.22 (782980),Lecture 08.24 (794986),Lecture 09.05 (803069),Lecture 09.07 (804537),Lecture 09.12 (807992),Lecture 09.14 (809359),Lecture 09.19 (812140),Lecture 09.21 (813748),Lecture 09.26 (816446),Lecture 09.28 (817928),Lecture 10.03 (820368),Lecture 10.05 (821949),Lecture 10.10 (824809),Lecture 10.12 (826172),Lecture 10.17 (828610),Lecture 10.19 (829874),Lecture 10.24 (832155),Lecture 10/26 (833546),Lecture 10.31 (836629),Lecture 11.02 (838062),Lecture 11.07 (840422),Lecture 11.09 (842069),Lecture 11.14 (844526),Lecture 11.16 (846793),Lecture 11.28 (851001),Lecture 11.30 (855020),Lecture 12.05 (854764),Lecture 12.07 (856370),Activity Week 1 (759915),Activity Week 2 (752808),Activity Week 3 (752809),Activity Week 4 (752810),Activity Week 5 (752811),Activity Week 6 (752812),Activity Week 7 (752813),Activity Week 8 (752814),Activity Week 9 (752815),Activity Week 10 (752802),Activity Week 11 (752803),Activity Week 12 (752804),Activity Week 13 (752805),Activity Week 15 (752806),Activity Week 16 (752807),Midterm 1 (752797),Midterm 2 (752798),Maintenance - Midterm 1 (752795),Maintenance - Midterm 2  (752796),Final Exam (752793),Lecture Attendance & Participation Current Score,Lecture Attendance & Participation Unposted Current Score,Lecture Attendance & Participation Final Score,Lecture Attendance & Participation Unposted Final Score,Activity Attendance & Participation Current Score,Activity Attendance & Participation Unposted Current Score,Activity Attendance & Participation Final Score,Activity Attendance & Participation Unposted Final Score,Assignments Current Score,Assignments Unposted Current Score,Assignments Final Score,Assignments Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Midterm Exams Current Score,Midterm Exams Unposted Current Score,Midterm Exams Final Score,Midterm Exams Unposted Final Score,Maintenance Current Score,Maintenance Unposted Current Score,Maintenance Final Score,Maintenance Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Current Grade,Unposted Current Grade,Final Grade,Unposted Final Grade,Override Score,Override Grade,Override Status
F23.31,10,4.84,4.77,9.7,9.57,10,9.2,10,9.81,10,10,10,10,10,10,10,10,7.18,10,10,10,0,7.48,5,10,0,0,12,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,3,3,3,2,2,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,89,94,20,20,186,100,100,100,100,100,100,100,100,94.52,94.52,94.52,94.52,88.89,88.89,88.89,88.89,91.5,91.5,91.5,91.5,100,100,100,100,93,93,93,93,93.36,93.36,93.36,93.36,A,A,A,A,,,
F23.32,10,9.33,8.19,9,7.42,5.39,8.13,8.32,8.67,7.03,10,8.11,0,5.78,9.17,8.95,4.17,7.15,8.25,7.65,8.2,10,8.12,5.34,8.52,0,10,0,0,0,0,0,14,0,0,0,0,0,13.5,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,0,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,61,57,20,20,94,100,100,100,100,100,100,100,100,82.45,82.45,82.45,82.45,83.33,83.33,83.33,83.33,59,59,59,59,100,100,100,100,47,47,47,47,72.86,72.86,72.86,72.86,C,C,C,C,,,
F23.33,0,10,10,9.7,9.57,10,10,10,9.81,10,10,9.37,0,2.36,10,10,10,8.08,9.75,10,10,10,10,10,10,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,2,2,1,2,2,2,3,3,3,1,4,0,3,2,3,1,2,5,2,2,3,3,6,10,2,2,0,2,2,2,2,2,1.5,2,2,2,2,2,2,99,95,20,20,194,92.59,92.59,92.59,92.59,100,100,100,100,98.31,98.31,98.31,98.31,100,100,100,100,97,97,97,97,100,100,100,100,97,97,97,97,97.86,97.86,97.86,97.86,A,A,A,A,,,
F23.34,10,8.98,9.54,9.7,8.71,9.28,3.34,8.8,9.05,9.63,10,9.37,0,1.05,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,0,0,0,2,0,3,2,2,4,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,2,0,0,2,0,1,0,0,0,0,0,0,56,0,10,0,0,43.28,43.28,43.28,43.28,34.62,34.62,34.62,34.62,49.85,49.85,49.85,49.85,2.22,2.22,2.22,2.22,28,28,28,28,25,25,25,25,0,0,0,0,26.34,26.34,26.34,26.34,F,F,F,F,,,
F23.35,10,9.67,10,9.7,10,10,9.6,10,8.68,10,10,9.37,9.56,9.73,10,10,10,9.37,10,10,10,10,7.48,9.66,10,0,0,15,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,100,98,20,20,190,100,100,100,100,100,100,100,100,98.77,98.77,98.77,98.77,97.78,97.78,97.78,97.78,99,99,99,99,100,100,100,100,95,95,95,95,98.31,98.31,98.31,98.31,A,A,A,A,,,
F23.36,9.16,8.67,10,9.4,9.14,9.64,9.58,10,8.69,10,10,9.37,9.08,8.15,9.45,8.43,5,0,10,8.23,10,10,8.74,6.97,8.15,0,15,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,1,3,2,3,5,2,4,3,3,6,10,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,74,59,20,20,128,100,100,100,100,100,100,100,100,92.67,92.67,92.67,92.67,95.56,95.56,95.56,95.56,66.5,66.5,66.5,66.5,100,100,100,100,64,64,64,64,82.05,82.05,82.05,82.05,B,B,B,B,,,
F23.37,10,9.67,10,10,9.14,8.92,10,10,9.44,7.04,10,8.74,9.08,9.73,10,9.47,9.17,0,5,9.41,9.6,9.72,9.37,0,10,0,9,0,0,0,0,0,0,0,14,0,0,0,12.5,0,0,0,0,3,3,2,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,4,1,1,3,3,6,11,2,2,2,2,2,2,2,0,2,0,2,0,2,0,0,86,72,20,20,154,98.75,98.75,98.75,98.75,76.92,76.92,76.92,76.92,93.85,93.85,93.85,93.85,78.89,78.89,78.89,78.89,79,79,79,79,100,100,100,100,77,77,77,77,84.33,84.33,84.33,84.33,B,B,B,B,,,
F23.38,10,10,10,10,10,10,8.11,10,9.62,8.15,10,4.99,0,0,10,6.86,10,8.08,8.25,8.82,9.8,10,10,7.17,7.78,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,12,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,2,2,0,2,3,5,2,0,0,3,0,0,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,92,69,20,0,118,89.71,89.71,89.71,89.71,100,100,100,100,92.11,92.11,92.11,92.11,80,80,80,80,80.5,80.5,80.5,80.5,50,50,50,50,59,59,59,59,80.01,80.01,80.01,80.01,B,B,B,B,,,
F23.39,8.33,9.01,8.18,0,0,0.36,0,0,7.91,7.78,10,10,5.47,6.07,1.96,6.86,9.17,10,0,0,0,0,7.5,7.32,7.78,0,0,0,9,0,0,0,0,0,0,0,15,8.5,0,0,0,0,0,3,3,3,2,3,3,0,2,0,2,3,0,3,2,3,2,3,2,3,2,2,5,0,0,3,3,0,11,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,67.5,42,20,20,75,89.47,89.47,89.47,89.47,100,100,100,100,56.23,56.23,56.23,56.23,72.22,72.22,72.22,72.22,54.75,54.75,54.75,54.75,100,100,100,100,37.5,37.5,37.5,37.5,61.41,61.41,61.41,61.41,D,D,D,D,,,
F23.40,10,9.67,10,9.7,8.28,10,10,10,10,8.52,10,8.75,8.62,3.4,10,6.33,7.49,10,7.75,10,10,10,10,9.67,10,0,0,0,0,0,14,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,1,0,2,2,2,0,2,3,1,1,2,2,2,2,2,3,0,0,2,2,3,3,3,6,0,2,2,2,2,2,2,0,2,2,0,2,0,2,2,2,81.5,75,20,20,104,76.39,76.39,76.39,76.39,92.31,92.31,92.31,92.31,95.89,95.89,95.89,95.89,97.78,97.78,97.78,97.78,78.25,78.25,78.25,78.25,100,100,100,100,52,52,52,52,83.35,83.35,83.35,83.35,B,B,B,B,,,
F23.41,0,9.34,10,5,9.56,5,9.37,10,10,10,10,9.37,8.86,9.47,4.87,9.47,8.34,10,5,10,9.2,10,9.37,0.99,7.41,0,0,9,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,2,2,3,3,1,2,1,1,3,2,3,2,2,2,3,2,3,2,3,5,2,3,3,3,6,11,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,59,53,20,20,125,95.06,95.06,95.06,95.06,100,100,100,100,88.53,88.53,88.53,88.53,86.67,86.67,86.67,86.67,56,56,56,56,100,100,100,100,62.5,62.5,62.5,62.5,76.06,76.06,76.06,76.06,C,C,C,C,,,
F23.42,10,10,10,10,9.13,10,10,10,9.25,10,10,10,9.77,10,10,10,10,10,10,10,10,10,10,10,10,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,1,4,3,3,4,11,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,77,90,20,20,180,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,83.5,83.5,83.5,83.5,100,100,100,100,90,90,90,90,93.55,93.55,93.55,93.55,A,A,A,A,,,
F23.43,10,10,10,9.6,9.57,10,10,10,9.64,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,3,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92.5,98,20,20,188,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.25,95.25,95.25,95.25,100,100,100,100,94,94,94,94,97.68,97.68,97.68,97.68,A,A,A,A,,,
F23.44,10,10,9.54,9.7,9.57,10,10,10,9.05,7.78,9.46,9.37,1.84,0.52,0,4.74,9.17,1.55,2.25,9.41,9.6,10,8.74,5.17,9.63,15,0,0,0,0,0,15,0,0,0,0,0,12.5,0,0,0,0,0,3,3,2,2,2,3,2,2,1,2,3,3,3,1,3,2,0,2,2,2,2,0,2,1,2,1,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,91.5,62,20,20,125,81.43,81.43,81.43,81.43,100,100,100,100,84.1,84.1,84.1,84.1,94.44,94.44,94.44,94.44,76.75,76.75,76.75,76.75,100,100,100,100,62.5,62.5,62.5,62.5,81.66,81.66,81.66,81.66,B,B,B,B,,,
F23.45,10,10,10,10,10,10,10,10,9.81,10,10,10,10,10,10,10,10,10,10,10,9.8,10,10,10,10,15,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,0,2,3,2,3,2,3,5,2,4,3,3,6,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2,0,95.5,97,20,20,194,100,100,100,100,92.31,92.31,92.31,92.31,99.91,99.91,99.91,99.91,100,100,100,100,96.25,96.25,96.25,96.25,100,100,100,100,97,97,97,97,98.02,98.02,98.02,98.02,A,A,A,A,,,
F23.46,0,9.67,9.09,10,10,10,5,5,9.81,10,10,10,10,9.21,5.98,5,10,0,10,10,10,10,10,9.66,9.63,14,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,3,2,2,2,3,3,2,1,2,2,2,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,91,92,20,20,179,98.77,98.77,98.77,98.77,100,100,100,100,92.3,92.3,92.3,92.3,95.56,95.56,95.56,95.56,91.5,91.5,91.5,91.5,100,100,100,100,89.5,89.5,89.5,89.5,93.22,93.22,93.22,93.22,A,A,A,A,,,
F23.47,10,0,0,0,6.54,0,8.76,10,7.92,7.78,0,0,9.08,8.68,10,0,10,9.68,9.75,8.83,9.6,9.71,7.5,0,9.63,0,0,0,0,0,5,0,0,0,0,0,15,0,0,0,0,0,13.5,3,0,3,0,3,0,0,2,0,2,0,0,2,2,0,0,2,2,3,2,3,2,0,0,3,2,1,0,2,0,2,0,2,2,2,0,2,2,2,2,2,0,0,72,70,20,20,114.7,52.94,52.94,52.94,52.94,76.92,76.92,76.92,76.92,69.75,69.75,69.75,69.75,74.44,74.44,74.44,74.44,71,71,71,71,100,100,100,100,57.35,57.35,57.35,57.35,70,70,70,70,C,C,C,C,,,
F23.48,0,9.33,9.54,9.3,8.68,10,9.79,9.76,9.43,10,10,10,9.77,9.73,10,10,10,9.37,10,10,8.4,10,8.11,9.33,10,0,10,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,3,3,0,2,0,0,1,0,1,2,0,2,2,2,4,2,0,0,0,2,0,0,0,0,0,0,5,10,0,2,0,0,1,2,0,2,2,2,0,0,2,1.5,2,74,83,20,20,157,53.25,53.25,53.25,53.25,63.46,63.46,63.46,63.46,97.16,97.16,97.16,97.16,88.89,88.89,88.89,88.89,78.5,78.5,78.5,78.5,100,100,100,100,78.5,78.5,78.5,78.5,83.78,83.78,83.78,83.78,B,B,B,B,,,
F23.49,10,9.33,9.54,0,0,0,9.37,0,9.62,7.78,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,3,2,1,0,0,0,3,3,2,1,4,2,3,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,84,0,20,0,0,52.24,52.24,52.24,52.24,61.54,61.54,61.54,61.54,28.7,28.7,28.7,28.7,23.33,23.33,23.33,23.33,42,42,42,42,50,50,50,50,0,0,0,0,31.46,31.46,31.46,31.46,F,F,F,F,,,
F23.50,10,8.99,7.27,9,9.14,9.65,8.13,8.56,9.82,8.52,10,8.74,8.2,8.95,9.72,7.38,8.34,10,0,8.23,9.6,9.71,4.06,8.65,0,0,0,0,8,0,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,0,0,1,2,2,2,2,0,3,1,0,2,3,0,0,2,2,1,2,0,2,0,0,2,0,0,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,42,23,0,20,72,52.24,52.24,52.24,52.24,92.31,92.31,92.31,92.31,82.7,82.7,82.7,82.7,84.44,84.44,84.44,84.44,32.5,32.5,32.5,32.5,50,50,50,50,36,36,36,36,58.22,58.22,58.22,58.22,F,F,F,F,,,
F23.51,10,10,7.27,9.3,6.56,7.17,0.41,0.23,9.44,8.15,10,5.61,6.79,8.68,1.68,3.17,0,0,8.25,5,9.8,5.87,10,8.32,7.04,0,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,0,0,2,0,0,0,0,0,0,3,3,6,11,2,2,2,2,2,2,2,2,2,2,0,0,0,0,2,71.5,0,20,0,123,84.42,84.42,84.42,84.42,84.62,84.62,84.62,84.62,71.97,71.97,71.97,71.97,33.33,33.33,33.33,33.33,35.75,35.75,35.75,35.75,50,50,50,50,61.5,61.5,61.5,61.5,53.89,53.89,53.89,53.89,F,F,F,F,,,
F23.52,10,10,9.09,9.6,9.56,8.93,9.8,10,9.81,10,5,10,10,2.34,5,10,10,5,7.88,10,10,10,10,10,8.15,0,0,0,0,13.5,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,3,3,2,2,1,2,3,3,3,2,2,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,92,81,20,20,177,100,100,100,100,100,100,100,100,94.46,94.46,94.46,94.46,96.67,96.67,96.67,96.67,86.5,86.5,86.5,86.5,100,100,100,100,88.5,88.5,88.5,88.5,92.34,92.34,92.34,92.34,A,A,A,A,,,
F23.53,10,9.01,9.54,10,9.57,10,9.2,10,10,10,10,10,10,10,9.72,10,10,10,10,10,10,10,10,10,10,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,67.5,82,20,20,127,100,100,100,100,100,100,100,100,99.68,99.68,99.68,99.68,100,100,100,100,74.75,74.75,74.75,74.75,100,100,100,100,63.5,63.5,63.5,63.5,86.87,86.87,86.87,86.87,B,B,B,B,,,
F23.54,0,9.34,5,10,10,10,10,3.56,8.29,8.15,10,9.37,0,9.48,7.24,5.81,7.51,8.41,10,7.64,10,9.42,7.48,9,7.78,0,0,12,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,EX,EX,2,2,3,2,1,0,1,0,0,1,0,0,4,1,3,2,3,2,0,1,1,1,1,3,5,9,EX,2,2,2,0,2,2,2,2,2,0,2,2,1,0,70,71,20,20,149,65.28,65.28,65.28,65.28,87.5,87.5,87.5,87.5,85.67,85.67,85.67,85.67,86.67,86.67,86.67,86.67,70.5,70.5,70.5,70.5,100,100,100,100,74.5,74.5,74.5,74.5,79.38,79.38,79.38,79.38,C,C,C,C,,,
F23.55,10,8.99,10,5,9.57,10,10,10,9.24,10,10,10,10,9.08,9.72,9.47,10,0.31,10,10,10,9.72,10,10,10,0,0,0,0,14.7,0,0,0,0,0,15,0,0,0,0,0,14,0,3,3,3,2,2,3,2,2,1,2,3,3,3,1,4,2,3,2,3,2,3,5,2,4,2,3,6,11,2,2,2,2,2,2,2,2,2,0,2,1.8,2,0,2,69,80,20,20,130,98.78,98.78,98.78,98.78,99.23,99.23,99.23,99.23,98.55,98.55,98.55,98.55,97.11,97.11,97.11,97.11,74.5,74.5,74.5,74.5,100,100,100,100,65,65,65,65,86.2,86.2,86.2,86.2,B,B,B,B,,,
F23.56,10,10,9.08,9.6,9.57,10,10,10,10,10,10,10,9.31,8.93,10,10,10,9.38,10,10,9,10,10,10,10,0,15,0,0,0,0,0,13,0,0,0,0,0,12.5,0,0,0,0,3,3,3,2,3,3,2,2,2,0,3,3,0,0,0,0,3,2,EX,EX,3,0,0,0,0,0,0,11,2,2,2,2,2,2,2,2,0,2,EX,2,2,2,2,92,89,20,20,178,69.57,69.57,69.57,69.57,100,100,100,100,98.89,98.89,98.89,98.89,90,90,90,90,90.5,90.5,90.5,90.5,100,100,100,100,89,89,89,89,92.2,92.2,92.2,92.2,A,A,A,A,,,
F23.57,9.16,9.34,9.54,8.7,9.14,8.92,9.59,10,4.37,8.15,0,10,0,0,0,6.33,7.49,8.74,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,2,2,2,2,3,0,3,2,3,2,3,2,0,2,2,5,2,0,0,0,0,0,2,2,2,2,0,2,0,0,0,0,0,0,2,0,0,71,16,20,0,0,76.47,76.47,76.47,76.47,46.15,46.15,46.15,46.15,54.3,54.3,54.3,54.3,17.78,17.78,17.78,17.78,43.5,43.5,43.5,43.5,50,50,50,50,0,0,0,0,37.92,37.92,37.92,37.92,F,F,F,F,,,
F23.58,10,9,9.54,10,10,10,9.58,10,8.88,8.52,10,10,9.78,9.73,10,9.47,9.17,10,10,10,10,10,10,9.32,8.52,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,84,89,20,20,166,100,100,100,100,100,100,100,100,97.78,97.78,97.78,97.78,97.78,97.78,97.78,97.78,86.5,86.5,86.5,86.5,100,100,100,100,83,83,83,83,92.51,92.51,92.51,92.51,A,A,A,A,,,
F23.59,10,9.34,10,9.6,10,10,8.99,10,10,10,10,10,9.77,10,9.72,8.94,10,9.38,10,8.82,10,10,8.74,10,10,0,0,0,0,0,14,0,0,15,0,0,0,0,0,15,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,0,3,2,3,5,2,0,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,96,92,20,20,151,100,100,100,100,100,100,100,100,98.55,98.55,98.55,98.55,97.78,97.78,97.78,97.78,94,94,94,94,100,100,100,100,75.5,75.5,75.5,75.5,93.83,93.83,93.83,93.83,A,A,A,A,,,
F23.60,10,10,8.18,8.5,9.57,10,0,8.8,10,0,10,8.75,0,0,0,4.47,10,0,7.75,0,9.8,10,3.1,0,8.15,0,13,0,0,0,0,0,0,0,0,0,15,0,0,0,0,9,0,3,3,3,2,3,3,2,2,2,0,3,3,3,2,4,2,3,0,2,0,3,5,1,2,3,3,0,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,68,43,20,20,92,92.41,92.41,92.41,92.41,100,100,100,100,66.85,66.85,66.85,66.85,82.22,82.22,82.22,82.22,55.5,55.5,55.5,55.5,100,100,100,100,46,46,46,46,67.22,67.22,67.22,67.22,D,D,D,D,,,
F23.61,10,9.33,10,9.6,9.57,9.64,10,10,8.86,10,10,9.37,8.85,9.21,10,10,10,9.36,9.75,10,10,9.71,6.85,10,7.41,0,0,0,12,0,0,0,0,0,14,0,0,0,0,0,15,0,0,3,3,3,0,3,3,2,2,2,2,3,3,3,2,3,2,3,2,3,2,3,0,2,4,3,3,6,11,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,94,96,20,20,181,100,100,100,100,100,100,100,100,96.8,96.8,96.8,96.8,91.11,91.11,91.11,91.11,95,95,95,95,100,100,100,100,90.5,90.5,90.5,90.5,94.94,94.94,94.94,94.94,A,A,A,A,,,
F23.62,9.17,9.67,0,10,9.13,10,9.2,10,8.12,10,10,9.37,9.56,9.73,8.63,5.28,8.34,9.36,10,0,0,9.42,9.37,0,10,0,0,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,15,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,0,3,3,6,10,2,2,2,2,1,2,2,2,2,2,0,2,2,2,0,95,85,20,20,169,100,100,100,100,96.15,96.15,96.15,96.15,88.34,88.34,88.34,88.34,97.78,97.78,97.78,97.78,90,90,90,90,100,100,100,100,84.5,84.5,84.5,84.5,91.23,91.23,91.23,91.23,A,A,A,A,,,
F23.63,10,10,10,10,8.71,10,10,10,8.86,7.04,0,0,9.08,8.94,0,10,10,4.37,9.5,0,0,0,0,0.99,10,0,14,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,3,3,3,2,3,3,2,0,2,2,3,3,3,2,4,0,3,2,3,2,3,5,2,4,3,3,5,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,84,87,20,20,172,100,100,100,100,100,100,100,100,71.59,71.59,71.59,71.59,93.33,93.33,93.33,93.33,85.5,85.5,85.5,85.5,100,100,100,100,86,86,86,86,85.45,85.45,85.45,85.45,B,B,B,B,,,
F23.64,10,9.67,9.08,10,8.7,9.64,4.89,10,8.67,10,10,10,9.33,10,9.16,9.47,9.16,10,10,8.25,10,9.71,10,10,10,0,0,0,0,15,0,0,14,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,0,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,0.6,2,2,2,80,83,20,20,172,100,100,100,100,100,100,100,100,97.24,97.24,97.24,97.24,97.78,97.78,97.78,97.78,81.5,81.5,81.5,81.5,100,100,100,100,86,86,86,86,91.33,91.33,91.33,91.33,A,A,A,A,,,
F23.65,10,8,0,2.4,9.57,0,0,0,0,0,0,9.37,8.2,10,10,9.47,2.49,10,9.75,10,9.6,9.71,8.74,0,9.63,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,15,0,3,3,0,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,5,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,74,77,20,20,121,100,100,100,100,100,100,100,100,66.79,66.79,66.79,66.79,86.67,86.67,86.67,86.67,75.5,75.5,75.5,75.5,100,100,100,100,60.5,60.5,60.5,60.5,76.42,76.42,76.42,76.42,C,C,C,C,,,
F23.66,10,9.67,9.55,10,8.7,10,9.59,0,7.72,4.82,10,4.37,4.53,4.99,10,9.47,6.67,9.36,7.75,7.06,8.6,9.42,6.25,6.66,7.78,0,13,0,0,0,0,0,14,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,2,1,1,2,3,3,3,1,4,2,3,2,3,2,3,5,2,4,2,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,76.5,80,20,20,104,98.8,98.8,98.8,98.8,100,100,100,100,81.47,81.47,81.47,81.47,93.33,93.33,93.33,93.33,78.25,78.25,78.25,78.25,100,100,100,100,52,52,52,52,80.58,80.58,80.58,80.58,B,B,B,B,,,
F23.67,9.16,8.66,9.54,4.55,9.14,9.64,7.7,5,7.17,10,10,8.74,9.54,4.47,10,4.76,9.17,0.79,9,7.65,9.4,10,8.75,7.67,9.63,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,14,0,3,3,3,2,3,3,1,2,2,2,3,3,3,2,3,2,3,2,3,2,3,4,2,4,3,3,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,66,58,20,20,95,98.61,98.61,98.61,98.61,100,100,100,100,86.51,86.51,86.51,86.51,86.67,86.67,86.67,86.67,62,62,62,62,100,100,100,100,47.5,47.5,47.5,47.5,75.28,75.28,75.28,75.28,C,C,C,C,,,
F23.68,10,10,10,5,10,10,9.79,10,9.43,10,10,9.37,10,9.73,10,10,5,9.36,10,10,10,10,8.11,4.83,10,0,0,15,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,3,3,3,2,3,3,2,0,1,2,3,3,3,2,3,2,3,2,3,2,3,5,1,4,2,3,6,11,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,95,92,20,20,184,97.59,97.59,97.59,97.59,100,100,100,100,98.09,98.09,98.09,98.09,95.56,95.56,95.56,95.56,93.5,93.5,93.5,93.5,100,100,100,100,92,92,92,92,95.58,95.58,95.58,95.58,A,A,A,A,,,
F23.69,10,0,9.54,9.3,9.56,10,0,8.56,9.44,10,10,9.37,0,1.3,0,1.85,8.34,1.25,0.25,9.41,10,9.71,10,9.33,7.59,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,15,0,2,3,2,3,2,2,2,2,0,2,0,0,1,3,2,2,0,2,2,3,0,2,0,3,2,6,8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,93,81,20,20,160,72.73,72.73,72.73,72.73,100,100,100,100,74.91,74.91,74.91,74.91,100,100,100,100,87,87,87,87,100,100,100,100,80,80,80,80,85.46,85.46,85.46,85.46,B,B,B,B,,,
F23.70,10,10,9.54,10,9.57,10,10,10,9.81,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,12,0,0,0,0,0,13,0,0,0,0,0,15,0,0,0,0,3,3,3,2,3,3,1,2,0,2,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,95,99,20,20,172,100,100,100,100,100,100,100,100,100,100,100,100,88.89,88.89,88.89,88.89,97,97,97,97,100,100,100,100,86,86,86,86,95.33,95.33,95.33,95.33,A,A,A,A,,,
F23.71,8.33,9.32,10,10,8.69,10,9.37,10,9.81,8.52,10,10,0,10,10,10,10,8.74,10,10,0,10,10,8.98,8.15,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,14,0,3,3,3,2,3,3,2,2,0,0,3,3,3,2,4,2,3,2,3,2,3,5,2,4,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,94,98,20,20,188,100,100,100,100,100,100,100,100,92.3,92.3,92.3,92.3,95.56,95.56,95.56,95.56,96,96,96,96,100,100,100,100,94,94,94,94,95.31,95.31,95.31,95.31,A,A,A,A,,,
F23.72,10,10,9.54,9.6,9.57,10,9.58,10,9.81,10,10,9.37,10,9.74,9.72,9.47,10,9.69,9.75,10,9.8,9.71,9.38,10,10,0,15,0,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,3,3,3,2,3,3,2,2,2,2,3,3,3,2,4,2,3,2,3,2,3,1,2,0,3,3,6,11,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,78,80,20,20,146,100,100,100,100,100,100,100,100,98.41,98.41,98.41,98.41,93.33,93.33,93.33,93.33,79,79,79,79,100,100,100,100,73,73,73,73,88.25,88.25,88.25,88.25,B,B,B,B,,,
